画像,カード名,カードタイプ,マナコスト,カードテキスト,パワー,タフネス,レアリティ
"Anim Pakal, Thousandth Moon",Legendary Creature — Human Soldier,{1}{R}{W},"Whenever you attack with one or more non-Gnome creatures, put a +1/+1 counter on Anim Pakal, then create X 1/1 colorless Gnome artifact creature tokens that are tapped and attacking, where X is the number of +1/+1 counters on Anim Pakal.",1,2,Rare,https://cards.scryfall.io/large/front/8/6/868856b7-8875-43c1-8249-0f8fb2c8319b.jpg?1699044523
Bartolomé del Presidio,Legendary Creature — Vampire Knight,{W}{B},Sacrifice another creature or artifact: Put a +1/+1 counter on Bartolomé del Presidio.,2,1,Uncommon,https://cards.scryfall.io/large/front/6/9/690ccdc7-6c43-4902-9d11-2f07b7a36b11.jpg?1699044523
The Belligerent,Legendary Artifact — Vehicle,{2}{U}{R},"Whenever The Belligerent attacks, create a Treasure token. Until end of turn, you may look at the top card of your library any time, and you may play lands and cast spells from the top of your library.

Crew 3",5,5,Rare,https://cards.scryfall.io/large/front/1/4/1454af8c-bce9-47d3-890f-283e2fea2cf2.jpg?1699044529
Caparocti Sunborn,Legendary Creature — Human Soldier,{2}{R}{W},"Whenever Caparocti Sunborn attacks, you may tap two untapped artifacts and/or creatures you control. If you do, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",4,4,Uncommon,https://cards.scryfall.io/large/front/8/e/8ea82964-fd9c-48e3-962f-94954476b31f.jpg?1699044531
"Captain Storm, Cosmium Raider",Legendary Creature — Human Pirate,{U}{R},"Whenever an artifact enters the battlefield under your control, put a +1/+1 counter on target Pirate you control.",2,2,Uncommon,https://cards.scryfall.io/large/front/1/4/14c65f5a-10bd-4f9b-b816-46c2240b11ff.jpg?1699044532
Deepfathom Echo,Creature — Merfolk Spirit,{2}{G}{U},"At the beginning of combat on your turn, Deepfathom Echo explores. Then you may have it become a copy of another creature you control until end of turn. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",4,4,Rare,https://cards.scryfall.io/large/front/c/7/c7c7fb87-8448-49f4-a9ed-db97f6a41d98.jpg?1699044538
"Gishath, Sun's Avatar",Legendary Creature — Dinosaur Avatar,{5}{R}{G}{W},"Vigilance, trample, haste

Whenever Gishath, Sun’s Avatar deals combat damage to a player, reveal that many cards from the top of your library. Put any number of Dinosaur creature cards from among them onto the battlefield and the rest on the bottom of your library in a random order.",7,6,Mythic Rare,https://cards.scryfall.io/large/front/b/c/bc4a65de-23b5-48f0-b8b7-94608eaced3e.jpg?1699044539
"Itzquinth, Firstborn of Gishath",Legendary Creature — Dinosaur,{R}{G},"Haste

When Itzquinth, Firstborn of Gishath enters the battlefield, you may pay {2}. When you do, target Dinosaur you control deals damage equal to its power to another target creature.",2,3,Uncommon,https://cards.scryfall.io/large/front/7/1/7112c366-b36a-4bc8-aa64-6bad16bebc39.jpg?1699044540
"Kellan, Daring Traveler
          
              Journey On","Legendary Creature — Human Faerie Scout

          Sorcery — Adventure",{1}{W}{G},"Whenever Kellan, Daring Traveler attacks, reveal the top card of your library. If it’s a creature card with mana value 3 or less, put it into your hand. Otherwise, you may put it into your graveyard.
              
                Create X Map tokens, where X is one plus the number of opponents who control an artifact. (Then exile this card. You may cast the creature later from exile.)",2,3,Rare,https://cards.scryfall.io/large/front/0/1/01739030-c280-492b-a5c9-b3e9f6debc6d.jpg?1699044547
"Kutzil, Malamet Exemplar",Legendary Creature — Cat Warrior,{1}{G}{W},"Your opponents can’t cast spells during your turn.

Whenever one or more creatures you control each with power greater than its base power deals combat damage to a player, draw a card.",3,3,Uncommon,https://cards.scryfall.io/large/front/c/9/c9f88a40-a6ed-4c1f-a309-011aca1acddd.jpg?1699044549
Master's Guide-Mural,Artifact,{3}{W}{U},"When Master’s Guide-Mural enters the battlefield, create a 4/4 white and blue Golem artifact creature token.

Craft with artifact {4}{W}{W}{U} ({4}{W}{W}{U}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Uncommon,https://cards.scryfall.io/large/front/f/7/f7a41343-7cdb-49aa-a9d1-7460195355d8.jpg?1699561966
Master's Manufactory,"Color Indicator: White and Blue
          Artifact",,{T}: Create a 4/4 white and blue Golem artifact creature token. Activate only if Master’s Manufactory or another artifact entered the battlefield under your control this turn.,,,Uncommon,https://cards.scryfall.io/large/back/f/7/f7a41343-7cdb-49aa-a9d1-7460195355d8.jpg?1699561966
Molten Collapse,Sorcery,{B}{R},"Choose one. If you descended this turn, you may choose both instead. (You descended if a permanent card was put into your graveyard from anywhere.)

• Destroy target creature or planeswalker.

• Destroy target noncreature, nonland permanent with mana value 1 or less.",,,Rare,https://cards.scryfall.io/large/front/2/4/2487d124-210b-4808-888c-cd0a78aebd90.jpg?1699044556
The Mycotyrant,Legendary Creature — Elder Fungus,{1}{B}{G},"Trample

The Mycotyrant’s power and toughness are each equal to the number of creatures you control that are Fungi and/or Saprolings.

At the beginning of your end step, create X 1/1 black Fungus creature tokens with “This creature can’t block,” where X is the number of times you descended this turn. (You descend each time a permanent card is put into your graveyard from anywhere.)",*,*,Mythic Rare,https://cards.scryfall.io/large/front/c/a/caef93cc-70d0-4cce-9aaa-13c0931b2ef7.jpg?1699044561
"Nicanzil, Current Conductor",Legendary Creature — Merfolk Scout,{G}{U},"Whenever a creature you control explores a land card, you may put a land card from your hand onto the battlefield tapped.

Whenever a creature you control explores a nonland card, put a +1/+1 counter on Nicanzil, Current Conductor.",2,3,Uncommon,https://cards.scryfall.io/large/front/5/e/5e6f4aba-3500-4fb7-ab78-02f63c03778a.jpg?1699044562
Palani's Hatcher,Creature — Dinosaur,{3}{R}{G},"Other Dinosaurs you control have haste.

When Palani’s Hatcher enters the battlefield, create two 0/1 green Dinosaur Egg creature tokens.

At the beginning of combat on your turn, if you control one or more Eggs, sacrifice an Egg, then create a 3/3 green Dinosaur creature token.",5,3,Rare,https://cards.scryfall.io/large/front/8/6/86ff73c7-428c-469c-b564-6aa9f4eeca14.jpg?1699044564
Quintorius Kand,Legendary Planeswalker — Quintorius,{3}{R}{W},"Whenever you cast a spell from exile, Quintorius Kand deals 2 damage to each opponent and you gain 2 life.

+1: Create a 3/2 red and white Spirit creature token.

−3: Discover 4.

−6: Exile any number of target cards from your graveyard. Add {R} for each card exiled this way. You may play those cards this turn.",Loyalty: 4,,Mythic Rare,https://cards.scryfall.io/large/front/4/3/4382fa49-9e34-45b3-8495-4916dcd995ec.jpg?1699044570
"Saheeli, the Sun's Brilliance",Legendary Creature — Human Artificer,{U}{R},"{U}{R}, {T}: Create a token that’s a copy of another target creature or artifact you control, except it’s an artifact in addition to its other types. It gains haste. Sacrifice it at the beginning of the next end step.",2,2,Mythic Rare,https://cards.scryfall.io/large/front/0/b/0ba99b60-c7d0-4041-a065-f2c510745223.jpg?1699044570
Sovereign Okinec Ahau,Legendary Creature — Cat Noble,{2}{G}{W},"Ward {2}

Whenever Sovereign Okinec Ahau attacks, for each creature you control with power greater than that creature’s base power, put a number of +1/+1 counters on that creature equal to the difference.",3,4,Mythic Rare,https://cards.scryfall.io/large/front/7/0/70c75aa7-e2f9-4a69-8086-c982019ca714.jpg?1699044573
Squirming Emergence,Sorcery,{1}{B}{G},Fathomless descent — Return to the battlefield target nonland permanent card in your graveyard with mana value less than or equal to the number of permanent cards in your graveyard.,,,Rare,https://cards.scryfall.io/large/front/8/e/8ee16629-f9be-4cdb-bf52-1d640781ee00.jpg?1699044577
"Uchbenbak, the Great Mistake",Legendary Creature — Skeleton Horror,{3}{U}{B},"Vigilance, menace

Descend 8 — {4}{U}{B}: Return Uchbenbak, the Great Mistake from your graveyard to the battlefield with a finality counter on it. Activate only if there are eight or more permanent cards in your graveyard and only as a sorcery. (If a creature with a finality counter on it would die, exile it instead.)",6,4,Uncommon,https://cards.scryfall.io/large/front/a/0/a062202c-f9fb-4dd6-989a-c3083644f1c0.jpg?1699044578
"Vito, Fanatic of Aclazotz",Legendary Creature — Vampire Demon,{2}{W}{B},"Flying

Whenever you sacrifice another permanent, you gain 2 life if this is the first time this ability has resolved this turn. If it’s the second time, each opponent loses 2 life. If it’s the third time, create a 4/3 white and black Vampire Demon creature token with flying.",4,4,Mythic Rare,https://cards.scryfall.io/large/front/c/4/c4fd9047-df91-4d82-be00-c623acae0f01.jpg?1699044580
Wail of the Forgotten,Sorcery,{U}{B},"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.

• Return target nonland permanent to its owner’s hand.

• Target opponent discards a card.

• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.",,,Rare,https://cards.scryfall.io/large/front/6/7/67108256-b7da-44bd-9639-4264931d348f.jpg?1699044584
Zoyowa Lava-Tongue,Legendary Creature — Goblin Warlock,{B}{R},"Deathtouch

At the beginning of your end step, if you descended this turn, each opponent may discard a card or sacrifice a permanent. Zoyowa Lava-Tongue deals 3 damage to each opponent who didn’t. (You descended if a permanent card was put into your graveyard from anywhere.)",2,2,Uncommon,https://cards.scryfall.io/large/front/c/0/c06f0ff2-d42f-4854-bbe5-4b022fb26d7d.jpg?1699044586
Buried Treasure,Artifact — Treasure,{2},"{T}, Sacrifice Buried Treasure: Add one mana of any color.

{5}, Exile Buried Treasure from your graveyard: Discover 5. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 5 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/4/c/4c9c45b6-dedd-4481-a06a-c83ace2f18fa.jpg?1699049852
Careening Mine Cart,Artifact — Vehicle,{3},"Whenever Careening Mine Cart attacks, create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)

Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",3,3,Uncommon,https://cards.scryfall.io/large/front/5/a/5a96d8ae-200a-40be-95a8-72b53638a090.jpg?1699044592
Cartographer's Companion,Artifact Creature — Gnome,{3},"When Cartographer’s Companion enters the battlefield, create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",2,1,Common,https://cards.scryfall.io/large/front/d/b/dbd8115e-4cb3-49b6-b74f-8fcfa28c6404.jpg?1699044595
"Chimil, the Inner Sun",Legendary Artifact,{6},"Spells you control can’t be countered.

At the beginning of your end step, discover 5. (Exile cards from the top of your library until you exile a nonland card with mana value 5 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Mythic Rare,https://cards.scryfall.io/large/front/2/7/27a1bfb5-ddfc-49cf-baa3-5d1958d2067a.jpg?1699044596
Compass Gnome,Artifact Creature — Gnome,{2},"When Compass Gnome enters the battlefield, you may search your library for a basic land card or Cave card, reveal it, then shuffle and put that card on top.",2,1,Common,https://cards.scryfall.io/large/front/1/0/10e1030e-2b95-4807-9111-e495a2fc8813.jpg?1699387300
Contested Game Ball,Artifact,{2},"Whenever you’re dealt combat damage, the attacking player gains control of Contested Game Ball and untaps it.

{2}, {T}: Draw a card and put a point counter on Contested Game Ball. Then if it has five or more point counters on it, sacrifice it and create a Treasure token.",,,Uncommon,https://cards.scryfall.io/large/front/7/1/71cb7776-a6af-4efb-b536-6b9b4f3d3874.jpg?1699044604
Digsite Conservator,Artifact Creature — Gnome,{2},"Sacrifice Digsite Conservator: Exile up to four target cards from a single graveyard. Activate only as a sorcery.

When Digsite Conservator dies, you may pay {4}. If you do, discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",2,1,Uncommon,https://cards.scryfall.io/large/front/d/f/dfa3cd5e-b727-479d-9a77-9f320b92f3f2.jpg?1699044605
Disruptor Wanderglyph,Artifact Creature — Golem,{4},"Whenever Disruptor Wanderglyph attacks, exile target card from an opponent’s graveyard.",3,4,Common,https://cards.scryfall.io/large/front/7/8/7802ca61-6fcc-4965-9f8f-dd58fe82c6bf.jpg?1699044608
Hoverstone Pilgrim,Artifact Creature — Golem,{5},"Flying

Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)

{2}: Put target card from a graveyard on the bottom of its owner’s library.",2,5,Uncommon,https://cards.scryfall.io/large/front/a/f/af7e12ee-3db6-4df7-9859-7a8dee9171c7.jpg?1699044613
Hunter's Blowgun,Artifact — Equipment,{1},"Equipped creature gets +1/+1.

Equipped creature has deathtouch as long as it’s your turn. Otherwise, it has reach.

Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/3/3/3348abe7-6aa3-47f7-8203-a15f75007e33.jpg?1699044614
"Matzalantli, the Great Door",Legendary Artifact,{3},"{T}: Draw a card, then discard a card.

{4}, {T}: Transform Matzalantli, the Great Door. Activate only if there are four or more permanent types among cards in your graveyard. (Artifact, battle, creature, enchantment, land, and planeswalker are permanent types.)",,,Rare,https://cards.scryfall.io/large/front/b/4/b4c31b29-06ba-436d-a3d9-18f4796c39be.jpg?1699044622
The Core,Legendary Land,,"(Transforms from Matzalantli.)

Fathomless descent — {T}: Add X mana of any one color, where X is the number of permanent cards in your graveyard.",,,Rare,https://cards.scryfall.io/large/back/b/4/b4c31b29-06ba-436d-a3d9-18f4796c39be.jpg?1699044622
The Millennium Calendar,Legendary Artifact,{1},"Whenever you untap one or more permanents during your untap step, put that many time counters on The Millennium Calendar.

{2}, {T}: Double the number of time counters on The Millennium Calendar.

When there are 1,000 or more time counters on The Millennium Calendar, sacrifice it and each opponent loses 1,000 life.",,,Mythic Rare,https://cards.scryfall.io/large/front/d/e/deabba7f-05ef-41cf-ae3a-d950d051cf1e.jpg?1699044622
Roaming Throne,Artifact Creature — Golem,{4},"Ward {2}

As Roaming Throne enters the battlefield, choose a creature type.

Roaming Throne is the chosen type in addition to its other types.

If a triggered ability of another creature you control of the chosen type triggers, it triggers an additional time.",4,4,Rare,https://cards.scryfall.io/large/front/3/2/32fd8b7c-baf3-4d3d-be6f-044a917b11a0.jpg?1699044623
Runaway Boulder,Artifact,{6},"Flash

When Runaway Boulder enters the battlefield, it deals 6 damage to target creature an opponent controls.

Cycling {2} ({2}, Discard this card: Draw a card.)",,,Common,https://cards.scryfall.io/large/front/0/6/06d47a3b-dc66-48d8-981b-dde0ccc34ad5.jpg?1699044629
Scampering Surveyor,Artifact Creature — Gnome,{4},"When Scampering Surveyor enters the battlefield, search your library for a basic land card or Cave card, put it onto the battlefield tapped, then shuffle.",3,2,Uncommon,https://cards.scryfall.io/large/front/a/f/afcb2a90-d4c0-4c83-8ee7-2ac3a23b4402.jpg?1699392494
Sorcerous Spyglass,Artifact,{2},"As Sorcerous Spyglass enters the battlefield, look at an opponent’s hand, then choose any card name.

Activated abilities of sources with the chosen name can’t be activated unless they’re mana abilities.",,,Uncommon,https://cards.scryfall.io/large/front/1/9/194b7899-6b44-4ecc-8ddc-ec24304eb14c.jpg?1699044632
Sunbird Standard,Artifact,{3},"{T}: Add one mana of any color.

Craft with one or more {5} ({5}, Exile this artifact, Exile one or more other permanents you control and/or cards from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",*,*,Uncommon,https://cards.scryfall.io/large/front/e/0/e0b6d40a-fded-4625-b03c-765c88d75766.jpg?1699044640
Sunbird Effigy,Artifact Creature — Bird Construct,,"Flying, vigilance, haste

Sunbird Effigy’s power and toughness are each equal to the number of colors among the exiled cards used to craft it.

{T}: For each color among the exiled cards used to craft Sunbird Effigy, add one mana of that color.",*,*,Uncommon,https://cards.scryfall.io/large/back/e/0/e0b6d40a-fded-4625-b03c-765c88d75766.jpg?1699044640
Swashbuckler's Whip,Artifact — Equipment,{1},"Equipped creature has reach, “{2}, {T}: Tap target artifact or creature,” and “{8}, {T}: Discover 10.” (Exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)

Equip {1}",,,Uncommon,https://cards.scryfall.io/large/front/2/4/24a85c52-e5b5-4d65-931c-eacc0cf0fb31.jpg?1699044641
Tarrian's Soulcleaver,Legendary Artifact — Equipment,{1},"Equipped creature has vigilance.

Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.

Equip {2}",,,Rare,https://cards.scryfall.io/large/front/9/9/99413817-1218-4947-b12f-9a952b095a89.jpg?1699044647
Threefold Thunderhulk,Artifact Creature — Gnome,{7},"Threefold Thunderhulk enters the battlefield with three +1/+1 counters on it.

Whenever Threefold Thunderhulk enters the battlefield or attacks, create a number of 1/1 colorless Gnome artifact creature tokens equal to its power.

{2}, Sacrifice another artifact: Put a +1/+1 counter on Threefold Thunderhulk.",0,0,Rare,https://cards.scryfall.io/large/front/1/9/1917c62f-d463-43eb-87ad-89ffbc88b6fe.jpg?1699044648
Throne of the Grim Captain,Legendary Artifact,{2},"{T}: Mill two cards.

Craft with a Dinosaur, a Merfolk, a Pirate, and a Vampire {4} ({4}, Exile this artifact, Exile the four from among permanents you control and/or cards in your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",7,7,Rare,https://cards.scryfall.io/large/front/c/1/c13e8e3d-2a6b-4782-a3c9-71af7336a881.jpg?1699044655
The Grim Captain,"Color Indicator: Black
          Legendary Creature — Skeleton Spirit Pirate",,"Menace, trample, lifelink, hexproof

Whenever The Grim Captain attacks, each opponent sacrifices a nonland permanent. Then you may put an exiled creature card used to craft The Grim Captain onto the battlefield under your control tapped and attacking.",7,7,Rare,https://cards.scryfall.io/large/back/c/1/c13e8e3d-2a6b-4782-a3c9-71af7336a881.jpg?1699044655
Treasure Map,Artifact,{2},"{1}, {T}: Scry 1. Put a landmark counter on Treasure Map. Then if there are three or more landmark counters on it, remove those counters, transform Treasure Map, and create three Treasure tokens. (They’re artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,,Rare,https://cards.scryfall.io/large/front/a/9/a924fe1e-a85e-4e14-88d2-ac55130638ab.jpg?1699044658
Treasure Cove,Land,,"(Transforms from Treasure Map.)

{T}: Add {C}.

{T}, Sacrifice a Treasure: Draw a card.",,,Rare,https://cards.scryfall.io/large/back/a/9/a924fe1e-a85e-4e14-88d2-ac55130638ab.jpg?1699044658
Captivating Cave,Land — Cave,"","{T}: Add {C}.

{1}, {T}: Add one mana of any color.

{4}, {T}, Sacrifice Captivating Cave: Put two +1/+1 counters on target creature. Activate only as a sorcery.",,,Common,https://cards.scryfall.io/large/front/1/d/1d1a645e-85c7-4044-b817-6e24744d245e.jpg?1699044664
Cavern of Souls,Land,"","As Cavern of Souls enters the battlefield, choose a creature type.

{T}: Add {C}.

{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can’t be countered.",,,Mythic Rare,https://cards.scryfall.io/large/front/3/a/3aad15a2-8a1b-4460-9b06-e85863081878.jpg?1699044666
Cavernous Maw,Land — Cave,"","{T}: Add {C}.

{2}: Cavernous Maw becomes a 3/3 Elemental creature until end of turn. It’s still a Cave land. Activate only if the number of other Caves you control plus the number of Cave cards in your graveyard is three or greater.",,,Uncommon,https://cards.scryfall.io/large/front/2/a/2a51ebf6-a465-42e2-82b7-d2cb928ca632.jpg?1699044667
Echoing Deeps,Land — Cave,"","You may have Echoing Deeps enter the battlefield tapped as a copy of any land card in a graveyard, except it’s a Cave in addition to its other types.

{T}: Add {C}.",,,Rare,https://cards.scryfall.io/large/front/2/4/244c06b3-532d-426e-8bee-ee9461d092a6.jpg?1699044671
Forgotten Monument,Land — Cave,"","{T}: Add {C}.

Other Caves you control have “{T}, Pay 1 life: Add one mana of any color.”",,,Uncommon,https://cards.scryfall.io/large/front/d/e/de8c1c02-e533-46b2-a3eb-91dff561854b.jpg?1699044675
Hidden Cataract,Land — Cave,"","Hidden Cataract enters the battlefield tapped.

{T}: Add {U}.

{4}{U}, {T}, Sacrifice Hidden Cataract: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/6/9/69f317fc-f603-45b5-9208-545be4dcbf36.jpg?1699044678
Hidden Courtyard,Land — Cave,"","Hidden Courtyard enters the battlefield tapped.

{T}: Add {W}.

{4}{W}, {T}, Sacrifice Hidden Courtyard: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/b/8/b8685d46-99fc-44b3-be95-707a4b7b8327.jpg?1699044679
Hidden Necropolis,Land — Cave,"","Hidden Necropolis enters the battlefield tapped.

{T}: Add {B}.

{4}{B}, {T}, Sacrifice Hidden Necropolis: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/f/6/f67fd04f-05da-4418-97de-abeb7346cc69.jpg?1699044683
Hidden Nursery,Land — Cave,"","Hidden Nursery enters the battlefield tapped.

{T}: Add {G}.

{4}{G}, {T}, Sacrifice Hidden Nursery: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/a/9/a942939a-c06e-4b90-a404-ae5acfffcff9.jpg?1699044686
Hidden Volcano,Land — Cave,"","Hidden Volcano enters the battlefield tapped.

{T}: Add {R}.

{4}{R}, {T}, Sacrifice Hidden Volcano: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/9/f/9fa06aed-52c1-48f1-9906-362db12a3cf7.jpg?1699044687
Pit of Offerings,Land — Cave,"","Pit of Offerings enters the battlefield tapped.

When Pit of Offerings enters the battlefield, exile up to three target cards from graveyards.

{T}: Add {C}.

{T}: Add one mana of any of the exiled cards’ colors.",,,Uncommon,https://cards.scryfall.io/large/front/b/c/bc7d3957-b483-4a1f-a244-293c90032f5e.jpg?1699044691
Promising Vein,Land — Cave,"","{T}: Add {C}.

{1}, {T}, Sacrifice Promising Vein: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,Common,https://cards.scryfall.io/large/front/e/9/e9681a54-6413-4ff4-b6b1-ee4decb25bfa.jpg?1699044695
Restless Anchorage,Land,"","Restless Anchorage enters the battlefield tapped.

{T}: Add {W} or {U}.

{1}{W}{U}: Until end of turn, Restless Anchorage becomes a 2/3 white and blue Bird creature with flying. It’s still a land.

Whenever Restless Anchorage attacks, create a Map token.",,,Rare,https://cards.scryfall.io/large/front/e/3/e3cab352-734e-454b-8b58-733165f4b3b3.jpg?1699044695
Restless Prairie,Land,"","Restless Prairie enters the battlefield tapped.

{T}: Add {G} or {W}.

{2}{G}{W}: Restless Prairie becomes a 3/3 green and white Llama creature until end of turn. It’s still a land.

Whenever Restless Prairie attacks, other creatures you control get +1/+1 until end of turn.",,,Rare,https://cards.scryfall.io/large/front/f/9/f94ef116-6aff-4f53-a7f9-be5e21c7afa4.jpg?1699044700
Restless Reef,Land,"","Restless Reef enters the battlefield tapped.

{T}: Add {U} or {B}.

{2}{U}{B}: Until end of turn, Restless Reef becomes a 4/4 blue and black Shark creature with deathtouch. It’s still a land.

Whenever Restless Reef attacks, target player mills four cards.",,,Rare,https://cards.scryfall.io/large/front/8/a/8a8121c9-2480-419c-aa9c-5b8b55f65014.jpg?1699044703
Restless Ridgeline,Land,"","Restless Ridgeline enters the battlefield tapped.

{T}: Add {R} or {G}.

{2}{R}{G}: Restless Ridgeline becomes a 3/4 red and green Dinosaur creature until end of turn. It’s still a land.

Whenever Restless Ridgeline attacks, another target attacking creature gets +2/+0 until end of turn. Untap that creature.",,,Rare,https://cards.scryfall.io/large/front/a/b/abde5bed-dc4e-4b2b-820c-18d4d0cf8042.jpg?1699044703
Restless Vents,Land,"","Restless Vents enters the battlefield tapped.

{T}: Add {B} or {R}.

{1}{B}{R}: Until end of turn, Restless Vents becomes a 2/3 black and red Insect creature with menace. It’s still a land.

Whenever Restless Vents attacks, you may discard a card. If you do, draw a card.",,,Rare,https://cards.scryfall.io/large/front/e/6/e628e89b-bee9-408d-bb05-1784fda6b8a1.jpg?1699044708
Sunken Citadel,Land — Cave,"","Sunken Citadel enters the battlefield tapped. As it enters, choose a color.

{T}: Add one mana of the chosen color.

{T}: Add two mana of the chosen color. Spend this mana only to activate abilities of land sources.",,,Rare,https://cards.scryfall.io/large/front/3/e/3e1c9b1a-e306-47bb-9f68-2083660319c0.jpg?1699044711
Volatile Fault,Land — Cave,"","{T}: Add {C}.

{1}, {T}, Sacrifice Volatile Fault: Destroy target nonbasic land an opponent controls. That player may search their library for a basic land card, put it onto the battlefield, then shuffle. You create a Treasure token.",,,Uncommon,https://cards.scryfall.io/large/front/9/3/9385abf3-b067-4586-bf3d-175526cf8f0a.jpg?1699044713
Plains,Basic Land — Plains,"",({T}: Add {W}.),,,Common,https://cards.scryfall.io/large/front/4/7/4716a32c-91a6-470a-a686-d5eb3d27f46e.jpg?1699045084
Island,Basic Land — Island,"",({T}: Add {U}.),,,Common,https://cards.scryfall.io/large/front/2/3/23e3ed2c-342b-44aa-8e3e-0c53602397c3.jpg?1699045089
Swamp,Basic Land — Swamp,"",({T}: Add {B}.),,,Common,https://cards.scryfall.io/large/front/4/f/4f893107-84b0-4e3f-b1f5-b04632f192c5.jpg?1699045094
Mountain,Basic Land — Mountain,"",({T}: Add {R}.),,,Common,https://cards.scryfall.io/large/front/e/8/e82fc4bc-ac81-4ad6-8b33-781d047f60d5.jpg?1699045101
Forest,Basic Land — Forest,"",({T}: Add {G}.),,,Common,https://cards.scryfall.io/large/front/f/9/f954219a-fd4b-4fb1-945f-7950efc1d975.jpg?1699045105
